sortie_num,td_timestamp,Name,Pilot,td_longitude,td_latitude,CAS_kt,AGL_ft,VS_fpm
1,21:33:19.396949,F-16C_50,< 404C > Ghost,145.7249127,15.1171339,145.655288696289,6.693492312622062,-408.9347290039062
1,21:35:52.596803,F-16C_50,< 404C > Dragon 5,145.7211636,15.115787,140.0967712402344,6.943950725097656,-111.36190414428721
1,22:01:11.495354,F-16C_50,< 404C > Mustang,145.7182837,15.1145771,185.7348327636718,7.827538768310563,-780.9630867004389
2,22:16:52.794457,F-16C_50,< 404C > Ghost,144.920961,13.5826629,150.1006927490234,7.6433119128418125,-143.3241973876953
2,22:19:34.194303,F-16C_50,< 404C > Dragon 5,144.9188223,13.5819186,142.9566802978516,7.3903504180908115,-284.46771392822166
3,22:34:04.793472,F-16C_50,< 404C > Ghost,144.9214191,13.5827949,139.2913970947266,7.034712488403311,-249.48670959472656
3,22:36:05.993357,F-16C_50,< 404C > Dragon 5,144.9219349,13.5832095,139.3419342041016,5.725149903564437,-195.2670539855956
1,22:38:44.393206,F-16C_50,< 404 > D1CE,144.9191243,13.5820043,166.3835144042968,6.890735195922843,-249.66392745971726
1,22:38:49.993200,F-16C_50,HoneyBadger,144.9216888,13.5828,161.4483642578124,7.282517633667001,-59.361977386474706
1,22:45:05.192843,F-16C_50,< 404C > LCDR vici,144.9190356,13.5816858,139.8995666503906,7.762608814086906,-516.1455299377436
1,22:45:11.492837,F-16C_50,< 404 > A D L E R,144.9247768,13.5845137,160.0623779296876,7.303793833007813,-142.64235916137685
2,23:03:05.391812,F-16C_50,< 404C > Mustang,144.916398,13.5807763,163.5045013427734,6.783403027954093,-1251.8519798278815
1,23:08:21.391511,F-16C_50,< 404 > Hawk_7,144.9210559,13.5828054,166.9550170898438,7.71004408630372,-220.12261047363282
1,23:08:27.591505,F-16C_50,< 404 > Candid,144.9212918,13.5826256,151.285171508789,6.570390726318375,-505.9780303955078
1,23:09:07.791467,F-16C_50,< 404 > Aria,144.9232134,13.5835579,159.9130859375,7.718204134521501,-317.6495063781733
3,23:19:06.490896,F-16C_50,< 404C > Mustang,144.9204512,13.5822707,159.7455291748046,5.721195033569344,-379.9310729980469
